Scope	Category	Source	Domain	Date
Global	Sport	https://www.bbc.co.uk/sport/0/cycling/18946960	www.bbc.co.uk	2012-07-22
Global	Business and Economy	https://www.bbc.co.uk/news/uk-england-manchester-18979032; http://www.guardian.co.uk/uk/2012/jul/25/11-year-old-flies-rome-manchester?newsfeed=true	www.bbc.co.uk; www.guardian.co.uk	2012-07-25
Global	Politics	https://www.bbc.co.uk/news/world-africa-19022349	www.bbc.co.uk	2012-07-27
Global	Sport	http://edition.cnn.com/2012/07/26/sport/olympics-opening-ceremony/index.html; https://www.bbc.co.uk/news/uk-19008471	www.edition.cnn.com; www.bbc.co.uk	2012-07-27
Global	Art and Culture	http://www.thejournal.ie/beloved-irish-writer-maeve-binchy-has-died-aged-72-538914-Jul2012/; http://www.rte.ie/news/2012/0730/writer-maeve-binchy-dies-aged-72.html	www.thejournal.ie; www.rte.ie	2012-07-30
Global	Business and Economy	http://www.businessinsider.com/facebook-accused-of-click-fraud-by-advertiser-2012-7	www.businessinsider.com	2012-07-31
Global	Sport	https://www.telegraph.co.uk/sport/olympics/london-2012/9450469/Oscar-Pistorius-makes-Olympic-history.html	www.telegraph.co.uk	2012-08-04
Global	Science and Technology	http://in.reuters.com/article/2012/08/05/us-usa-mars-idINBRE8721A920120805	www.in.reuters.com	2012-08-06
Global	Disaster and Accidents	http://usnews.nbcnews.com/_news/2012/08/08/13179811-fire-put-out-on-88th-floor-of-1-world-trade-center?lite	www.usnews.nbcnews.com	2012-08-08
Global	Sport	http://soccernet.espn.go.com/news/story/_/id/1130589/stoke's-robert-huth-being-tested-for-'suspected-meningitis'?campaign=rss&source=soccernet&cc=5739	www.soccernet.espn.go.com	2012-08-08
Global	Business and Economy	http://www.aljazeera.com/news/middleeast/2012/08/201281261018425841.html	www.aljazeera.com	2012-08-12
Global	Politics	http://www.aljazeera.com/news/africa/2012/08/2012818183718864689.html	www.aljazeera.com	2012-08-20
Global	Environment	http://www.cnn.com/2012/08/21/world/africa/congo-ebola/index.html?hpt=hp_t3	www.cnn.com	2012-08-21
Global	Law and Crime	http://online.wsj.com/article/SB10000872396390444812704577608242792921450.html	www.online.wsj.com	2012-08-24
Global	Environment	http://www.cbc.ca/news/canada/montreal/story/2012/08/26/legionnaires-disease-kills-more.html?cmp=rss	www.cbc.ca	2012-08-26
Global	Business and Economy	http://www.rte.ie/news/2012/0827/leslie-buckley-inm.html; https://web.archive.org/web/20120828145506/http://www.irishtimes.com/newspaper/finance/2012/0828/1224323095577.html	www.rte.ie; www.web.archive.org	2012-08-27
Global	Politics	http://www.heraldsun.com.au/news/breaking-news/pakistan-pm-arrives-in-court/story-e6frf7k6-1226459061479	www.heraldsun.com.au	2012-08-27
Global	Science and Technology	http://www.medicaldaily.com/articles/11799/20120829/venom-from-worlds-deadliest-spider-may-relieve-erectile-dysfunction-in-20-minutes-researchers-say.htm	www.medicaldaily.com	2012-08-29
Global	Science and Technology	http://www.hln.be/hln/nl/957/Binnenland/article/detail/1493280/2012/08/30/Belgische-militairen-gaan-Congolese-geniesoldaten-opleiden.dhtml	www.hln.be	2012-08-30
Global	Politics	http://www.aljazeera.com/news/africa/2012/09/20129114412116203.html	www.aljazeera.com	2012-09-01
Global	Environment	http://www.dailystar.com.lb/News/Local-News/2012/Sep-03/186518-smoking-ban-goes-into-effect-in-lebanon.ashx	www.dailystar.com.lb	2012-09-03
Global	Politics	http://rthk.hk/rthk/news/englishnews/news.htm?main&20120908&56&868210; https://www.bbc.co.uk/news/world-asia-china-19529867	www.rthk.hk; www.bbc.co.uk	2012-09-08
Global	Conflicts and Attacks	http://in.reuters.com/article/2012/09/10/mexico-drugs-idINL1E8KAGN720120910	www.in.reuters.com	2012-09-10
Global	Disaster and Accidents	https://web.archive.org/web/20120921174524/http://www.thejakartaglobe.com/home/update-21-missing-and-feared-dead-in-kalimantan-boat-mishap/544370	www.web.archive.org	2012-09-14
Global	Environment	https://web.archive.org/web/20120919013947/http://mainichi.jp/english/english/newsselect/news/20120916p2a00m0na008000c.html	www.web.archive.org	2012-09-16
Global	Science and Technology	https://www.msnbc.msn.com/id/49058008/ns/technology_and_science-science/	www.msnbc.msn.com	2012-09-16
Global	Sport	http://espn.go.com/nhl/story/_/id/8382911/nhl-officially-locks-players-cba-expires	www.espn.go.com	2012-09-16
Global	Science and Technology	http://www.foxnews.com/science/2012/09/16/us-russian-trio-lands-in-kazakhstan-after-time-in-space-station/	www.foxnews.com	2012-09-17
Global	International Relations	http://www.japantimes.co.jp/text/nn20120918x1.html; http://opinion.huanqiu.com/1152/2012-09/3131163.html	www.japantimes.co.jp; www.opinion.huanqiu.com	2012-09-18
Global	Business and Economy	http://latimesblogs.latimes.com/world_now/2012/09/czech-alcohol-ban-poisonings-controversy.html	www.latimesblogs.latimes.com	2012-09-19
Global	Health	https://news.yahoo.com/former-cia-operative-edwin-wilson-dies-84-200648173.html?_esi=1	www.news.yahoo.com	2012-09-23
Global	Law and Crime	http://www.aljazeera.com/news/europe/2012/09/2012923112033590333.html	www.aljazeera.com	2012-09-23
Global	Health	https://www.reuters.com/article/2012/09/28/us-virus-who-idUSBRE88R0F220120928	www.reuters.com	2012-09-28
Global	Art and Culture	https://www.bbc.co.uk/news/entertainment-arts-19776875	www.bbc.co.uk	2012-09-30
Global	Environment	http://www.cnn.com/2012/10/05/health/meningitis-exposure/index.html?hpt=hp_t2	www.cnn.com	2012-10-05
Global	Law and Crime	https://www.bbc.co.uk/news/world-europe-19850385	www.bbc.co.uk	2012-10-06
Global	Health	http://www.rferl.org/content/women-who-claimed-to-be-worlds-oldest-dies-in-georgia/24731879.html	www.rferl.org	2012-10-07
Global	Science and Technology	https://www.nytimes.com/2012/10/10/science/french-and-us-scientists-win-nobel-physics-prize.html?_r=0	www.nytimes.com	2012-10-09
Global	Health	https://www.bbc.co.uk/news/uk-northern-ireland-19902778; http://www.rte.ie/news/2012/1011/marie-stopes-abortion-belfast.html	www.bbc.co.uk; www.rte.ie	2012-10-11
Global	Health	http://www.diclehaber.com/2/1002/viewNews/325542	www.diclehaber.com	2012-10-11
Global	Art and Culture	https://www.bbc.co.uk/news/entertainment-arts-19907762	www.bbc.co.uk	2012-10-11
Global	Sport	https://www.bbc.com/news/world-africa-19938902	www.bbc.com	2012-10-13
Global	Sport	https://www.bbc.com/sport/0/football/19967065	www.bbc.com	2012-10-16
Global	Art and Culture	http://www.cbsnews.com/8301-201_162-57536300/iconic-statue-big-tex-goes-up-in-flames/	www.cbsnews.com	2012-10-19
Global	Science and Technology	https://www.bbc.co.uk/news/science-environment-20118963	www.bbc.co.uk	2012-10-28
Global	Disaster and Accidents	http://www.cnn.com/2012/10/31/world/asia/india/index.html?hpt=wo_c2; http://timesofindia.indiatimes.com/india/Two-dead-as-Cyclone-Nilam-crosses-Tamil-Nadu-coast/articleshow/17037812.cms	www.cnn.com; www.timesofindia.indiatimes.com	2012-10-31
Global	Politics	https://www.bbc.co.uk/news/world-20178332	www.bbc.co.uk	2012-11-02
Global	Art and Culture	https://www.bbc.co.uk/news/world-middle-east-20192922	www.bbc.co.uk	2012-11-04
Global	Politics	https://www.bbc.co.uk/news/uk-politics-20265583	www.bbc.co.uk	2012-11-09
Global	Business and Economy	http://online.wsj.com/article/SB10001424127887324556304578120140555122104.html?mod=WSJ_hpp_LEFTTopStories; https://www.bloomberg.com/news/2012-11-15/bp-resolution-with-doj-includes-4-billion-paid-in-installments.html	www.online.wsj.com; www.bloomberg.com	2012-11-15
Global	Sport	http://www.guardian.co.uk/football/2012/nov/23/sir-alex-ferguson-statue-manchester-united	www.guardian.co.uk	2012-11-23
Global	Art and Culture	https://www.bbc.co.uk/news/technology-20483087	www.bbc.co.uk	2012-11-24
Global	Science and Technology	https://www.bbc.co.uk/news/education-20464013	www.bbc.co.uk	2012-11-27
Global	Conflicts and Attacks	http://www.aljazeera.com/news/africa/2012/11/2012112853843823929.html	www.aljazeera.com	2012-11-28
Global	Science and Technology	http://www.nasa.gov/centers/goddard/news/features/2012/mercury-altimeter.html; https://www.forbes.com/sites/alexknapp/2012/11/29/nasa-has-discovered-water-ice-on-mercury/; http://hosted2.ap.org/APDefault/*/Article_2012-11-29-Mercury/id-36874bcfa8b24e888a862b2a848e9fbc	www.nasa.gov; www.forbes.com; www.hosted2.ap.org	2012-11-29
Global	Science and Technology	http://www.cbsnews.com/8301-205_162-57556453/mars-rover-curiosity-continues-drilling-amid-rumors/; http://www.space.com/18697-mars-rover-curiosity-discovery-rumors.html	www.cbsnews.com; www.space.com	2012-11-30
Global	Science and Technology	http://www.latimes.com/news/custom/la-me-1206-grail-nasa-moon-20121206,0,3101937.story; https://www.bbc.co.uk/news/science-environment-20617506	www.latimes.com; www.bbc.co.uk	2012-12-06
Global	Disaster and Accidents	http://www.weatherzone.com.au/news/philippines-declares-calamity-after-typhoon/22969	www.weatherzone.com.au	2012-12-08
Global	International Relations	http://www.aljazeera.com/news/asia-pacific/2012/12/20121296462615843.html	www.aljazeera.com	2012-12-09
Global	Business and Economy	https://www.reuters.com/article/2012/12/13/us-eu-banking-idUSBRE8BB00820121213	www.reuters.com	2012-12-13
Global	Law and Crime	https://www.independent.co.uk/news/uk/home-news/jacintha-saldanha-nurse-found-hanged-after-royal-hoax-call-left-three-notes-inquest-hears-8412585.html	www.independent.co.uk	2012-12-13
Global	Art and Culture	https://www.bbc.co.uk/news/uk-20764559	www.bbc.co.uk	2012-12-17
Global	Business and Economy	https://www.theguardian.com/business/2012/dec/20/nyse-sold-8bn-intercontinentalexchange	www.theguardian.com	2012-12-20
Global	Art and Culture	http://www.abc.net.au/news/2013-01-03/putin-grants-depardieu-russian-citizenship/4452142	www.abc.net.au	2013-01-03
Global	Law and Crime	https://www.bbc.co.uk/news/world-asia-india-20896031	www.bbc.co.uk	2013-01-03
Global	Art and Culture	https://www.bbc.co.uk/news/uk-20914799; http://www.guardian.co.uk/world/2013/jan/04/church-of-england-gay-bishops	www.bbc.co.uk; www.guardian.co.uk	2013-01-04
Global	Science and Technology	https://www.bbc.co.uk/news/world-asia-china-20998147	www.bbc.co.uk	2013-01-12
Global	Business and Economy	https://www.bbc.co.uk/news/business-21054089; https://www.reuters.com/article/2013/01/17/boeing-787-easa-idUSL6N0AM0E020130117; http://business.time.com/2013/01/17/lithium-batteries-central-to-boeings-787-woes/; http://www.nbcnews.com/business/faa-grounds-all-boeing-787s-over-safety-concerns-1B7991426; https://www.nytimes.com/2013/01/17/business/faa-orders-grounding-of-us-operated-boeing-787s.html	www.bbc.co.uk; www.reuters.com; www.business.time.com; www.nbcnews.com; www.nytimes.com	2013-01-16
Global	Science and Technology	http://www.nasa.gov/multimedia/videogallery/index.html?collection_id=14483&media_id=158615081&module=homepage; http://www.universetoday.com/99527/msl-update-curiosity-finds-calcium-rich-deposits/	www.nasa.gov; www.universetoday.com	2013-01-19
Global	International Relations	http://www.foxnews.com/us/2013/01/20/us-warns-americans-travel-dangers-in-algeria/	www.foxnews.com	2013-01-20
Global	Disaster and Accidents	http://www.globalnews.ca/6442794393/story.html; http://www.radioaustralia.net.au/international/2013-01-24/three-missing-on-plane-in-antarctica/1077866	www.globalnews.ca; www.radioaustralia.net.au	2013-01-23
Global	Law and Crime	https://www.bbc.co.uk/news/world-europe-21245784; https://www.reuters.com/article/2013/01/29/ukraine-gongadze-sentence-idUSL5N0AYEEJ20130129; http://uk.news.yahoo.com/ukraine-jails-ex-top-official-over-journalist-murder-144116622.html	www.bbc.co.uk; www.reuters.com; www.uk.news.yahoo.com	2013-01-29
Global	Sport	http://soccernet.espn.go.com/news/story/_/id/1318066/man-city-sends-mario-balotelli-to-ac-milan,-milan-says; http://www.goal.com/en-gb/news/2892/transfer-zone/2013/01/29/3710062/official-manchester-city-agree-balotelli-sale-to-milan; http://www.guardian.co.uk/football/2013/jan/28/mario-balotelli-milan-loan-manchester-city	www.soccernet.espn.go.com; www.goal.com; www.guardian.co.uk	2013-01-29
Global	International Relations	https://www.telegraph.co.uk/news/worldnews/asia/northkorea/9838626/North-Korea-under-martial-law.html	www.telegraph.co.uk	2013-01-31
Global	Politics	http://en.ria.ru/world/20130204/179223625/2014-G8-Summit-to-Be-Held-in-Sochi---Putin.html	www.en.ria.ru	2013-02-04
Global	Law and Crime	https://www.bbc.co.uk/news/world-south-asia-21392156; http://edition.cnn.com/2013/02/09/world/asia/india-execution; http://www.foxnews.com/world/2013/02/08/india-hangs-kashmiri-man-convicted-deadly-2001-attack-on-parliament/	www.bbc.co.uk; www.edition.cnn.com; www.foxnews.com	2013-02-09
Global	Art and Culture	http://www.abc.net.au/news/2013-02-10/tens-of-millions-bathe-at-ganges-festival/4510894	www.abc.net.au	2013-02-10
Global	Sport	http://espn.go.com/racing/nascar/cup/story/_/id/8956961/danica-patrick-first-woman-win-daytona-500-pole; http://www.cnn.com/2013/02/17/sport/daytona-500-qualifying	www.espn.go.com; www.cnn.com	2013-02-17
Global	International Relations	https://www.bbc.co.uk/news/world-asia-21510479	www.bbc.co.uk	2013-02-19
Global	International Relations	http://www.cbc.ca/news/politics/story/2013/02/11/parry-fadden-senate.html; https://www.theglobeandmail.com/news/politics/domestic-terrorism-becoming-a-greater-concern-for-canadian-spy-agency/article8478299/	www.cbc.ca; www.theglobeandmail.com	2013-02-23
Global	Science and Technology	https://www.telegraph.co.uk/science/science-news/9889999/Chimps-solve-puzzles-for-the-thrill-of-it-researchers-find.html	www.telegraph.co.uk	2013-02-24
Global	Environment	http://www.medicalnewstoday.com/articles/257111.php	www.medicalnewstoday.com	2013-03-02
Global	Environment	http://www.cbsnews.com/8301-204_162-57572271/baby-born-with-aids-virus-appears-to-have-been-cured/; http://www.guardian.co.uk/society/2013/mar/03/us-doctors-cure-child-born-hiv; https://www.bbc.co.uk/news/world-us-canada-21651225; http://edition.cnn.com/2013/03/03/health/hiv-toddler-cured	www.cbsnews.com; www.guardian.co.uk; www.bbc.co.uk; www.edition.cnn.com	2013-03-03
Global	Law and Crime	https://www.bbc.co.uk/news/uk-england-21666326	www.bbc.co.uk	2013-03-05
Global	Sport	http://www.guardian.co.uk/football/2013/mar/06/rio-ferdinand-manchester-united-real-madrid; https://www.telegraph.co.uk/sport/football/teams/manchester-united/9912158/Manchester-United-defender-Rio-Ferdinand-may-face-Uefa-action-following-sarcastic-applause-in-referees-face.html	www.guardian.co.uk; www.telegraph.co.uk	2013-03-06
Global	International Relations	http://www.cnn.com/2013/03/07/world/asia/un-north-korea-sanctions	www.cnn.com	2013-03-07
Global	Politics	http://www.cnn.com/2013/04/02/us/new-york-state-senator-charged/	www.cnn.com	2013-04-02
Global	Art and Culture	https://www.bbc.co.uk/news/entertainment-arts-22015002	www.bbc.co.uk	2013-04-03
Global	Environment	http://www.healthcentral.com/dailydose/cf/2013/04/3/cholesterol_drugs_may_prevent_blindness	www.healthcentral.com	2013-04-03
Global	Art and Culture	https://www.usatoday.com/story/news/world/2013/04/13/pope-advisers-vatican-bureaucracy/2079635/	www.usatoday.com	2013-04-13
Global	Conflicts and Attacks	http://www.latimes.com/news/politics/la-pn-obama-boston-marathon-attack-memorial-20130418,0,283840.story	www.latimes.com	2013-04-18
Global	Science and Technology	http://www.sciencerecorder.com/news/sperm-quality-higher-in-kilt-wearers-going-commando-say-researchers/	www.sciencerecorder.com	2013-04-20
Global	Sport	http://www.fedcup.com/en/news/145036.aspx	www.fedcup.com	2013-04-22
Global	Law and Crime	http://www.boston.com/metrodesk/2013/04/25/VdhQ9rI8u6nGJWsLlGuMuN/story.html	www.boston.com	2013-04-25
Global	Politics	https://www.bbc.co.uk/news/world-europe-22426199	www.bbc.co.uk	2013-05-06
Global	Politics	http://www.ndtv.com/elections/article/assembly-polls/karnataka-election-results-live-congress-gets-majority-bjp-routed-jd-s-gains-364102	www.ndtv.com	2013-05-08
Global	Conflicts and Attacks	http://www.voanews.com/content/gunmen-kill-iraqi-police-officer-and-family/1663557.html	www.voanews.com	2013-05-18
Global	Art and Culture	https://www.bloomberg.com/news/2013-05-20/-star-trek-film-debut-falls-short-in-crowded-box-office.html	www.bloomberg.com	2013-05-19
Global	Environment	https://www.reuters.com/article/2013/05/24/us-c-sections-tied-to-child-obesity-idUSBRE94N0NS20130524	www.reuters.com	2013-05-24
Global	Art and Culture	https://www.bbc.co.uk/news/world-europe-22664822; http://www.heraldsun.com.au/news/breaking-news/thousands-at-mass-for-italys-mafia-martyr/story-fni0xqll-1226650537013	www.bbc.co.uk; www.heraldsun.com.au	2013-05-25
Global	Sport	http://www.latimes.com/sports/tennis/la-sp-french-open-20130527,0,1414242.story	www.latimes.com	2013-05-26
Global	Health	http://uk.reuters.com/article/2013/05/29/uk-coronavirus-france-idUKBRE94R0Y320130529	www.uk.reuters.com	2013-05-28
Global	Environment	https://www.reuters.com/article/2013/05/31/us-coronavirus-italy-idUSBRE94U15M20130531	www.reuters.com	2013-05-31
Global	International Relations	https://www.bloomberg.com/news/2013-05-29/u-s-to-ease-iran-sanctions-on-laptops-mobile-phones.html	www.bloomberg.com	2013-05-31
Global	Conflicts and Attacks	http://abcnews.go.com/International/wireStory/afghan-taliban-kill-police-checkpoint-attacks-19308383	www.abcnews.go.com	2013-06-02
Global	Disaster and Accidents	https://www.usatoday.com/story/news/nation/2013/06/02/wildfires-california-mexico-evacuation/2381805/	www.usatoday.com	2013-06-02
Global	Politics	http://www.foxnews.com/world/2013/06/02/egypt-court-rules-legislature-illegally-elected/	www.foxnews.com	2013-06-02
Global	Sport	http://www.theaustralian.com.au/sport/nrl/russell-packers-relief-could-prove-costly/story-fnca0von-1226656803031	www.theaustralian.com.au	2013-06-03
Global	Environment	http://www.abc.net.au/news/2013-06-05/scientists-warn-of-port-construction-barrier-reef-threat/4734182?section=qld	www.abc.net.au	2013-06-04
Global	Science and Technology	https://www.bbc.co.uk/news/science-environment-22770959	www.bbc.co.uk	2013-06-04
Global	Environment	http://www.heraldsun.com.au/news/national/hundreds-of-patients-face-anxious-wait-following-rare-legionnaires-outbreak-at-brisbanes-wesley-hospital/story-fnii5v70-1226658116104	www.heraldsun.com.au	2013-06-05
Global	International Relations	http://www.google.com/hostednews/afp/article/ALeqM5gUg60f1lw4mhNCbMxnvv2DxPD26A?docId=CNG.9880a8dda44b8ad3298fa8b84aad502f.181	www.google.com	2013-06-08
Global	Science and Technology	http://www.scientificamerican.com/podcast/episode.cfm?id=altitude-may-influence-language-sou-13-06-12	www.scientificamerican.com	2013-06-12
Global	Art and Culture	http://www.theaustralian.com.au/news/world/blessed-are-the-harley-riders-as-pope-greets-thousands-at-a-vatican-mass/story-e6frg6so-1226664884794	www.theaustralian.com.au	2013-06-16
Global	Politics	https://www.nytimes.com/2013/06/17/world/europe/czech-premier-to-resign-amid-scandal.html?partner=rss&emc=rss&_r=0	www.nytimes.com	2013-06-17
Global	Art and Culture	http://allafrica.com/stories/201306171672.html	www.allafrica.com	2013-06-18
Global	Health	http://focustaiwan.tw/news/aall/201306210025.aspx	www.focustaiwan.tw	2013-06-21
Global	Law and Crime	http://www.france24.com/en/20130625-france-arrests-paris-terrorism-radical-islam-attacks-police	www.france24.com	2013-06-25
Global	Business and Economy	http://www.smh.com.au/business/markets/late-selloff-caps-brutal-quarter-for-dollar-20130627-2oycj.html	www.smh.com.au	2013-06-29
Global	Conflicts and Attacks	http://www.aljazeera.com/news/asia/2013/07/201373145444176859.html	www.aljazeera.com	2013-07-03
Global	Law and Crime	https://www.bbc.co.uk/news/uk-23213740	www.bbc.co.uk	2013-07-07
Global	Politics	https://www.bbc.co.uk/news/world-europe-23260340	www.bbc.co.uk	2013-07-10
Global	Law and Crime	https://www.bbc.co.uk/news/uk-23401076	www.bbc.co.uk	2013-07-22
Global	Disaster and Accidents	http://usnews.nbcnews.com/_news/2013/07/24/19652537-gulf-rig-partially-collapses-as-fire-rages; http://online.wsj.com/article/PR-CO-20130724-913628.html	www.usnews.nbcnews.com; www.online.wsj.com	2013-07-23
Global	Business and Economy	http://www.france24.com/en/20130724-wells-fargo-deposes-chinas-icbc-worlds-biggest-bank	www.france24.com	2013-07-24
Global	Art and Culture	http://www.dailymail.co.uk/news/article-2377485/Dictionary-change-entry-marriage-include-gay-people-sex-weddings-enshrined-law.html	www.dailymail.co.uk	2013-07-25
Global	Disaster and Accidents	https://www.bbc.co.uk/news/world-europe-23501313; http://www.cnn.com/2013/07/30/world/europe/italy-bus-crash-funeral/index.html?hpt=wo_c2	www.bbc.co.uk; www.cnn.com	2013-07-30
Global	Conflicts and Attacks	http://edition.cnn.com/2013/08/02/world/meast/yemen-al-qaeda	www.edition.cnn.com	2013-08-04
Global	Disaster and Accidents	https://www.usatoday.com/story/news/world/2013/08/06/argentina-building-explosion/2624465/	www.usatoday.com	2013-08-06
Global	Disaster and Accidents	http://www.huffingtonpost.com/2013/08/06/switzerland-hot-air-balloon-crash_n_3712704.html?utm_hp_ref=world	www.huffingtonpost.com	2013-08-06
Global	Politics	https://www.bbc.co.uk/news/world-asia-23654148	www.bbc.co.uk	2013-08-11
Global	Politics	http://www3.sari.irna.ir/en/News/80775590/Politic/President_appoints_Salehi_as_Nuclear_Energy_Organization_Chief	www.www3.sari.irna.ir	2013-08-16
Global	Law and Crime	https://www.bbc.co.uk/news/uk-23790578	www.bbc.co.uk	2013-08-22
Global	Art and Culture	http://observers.france24.com/content/20130823-ancient-libyan-necropolis-threatened-cyrene	www.observers.france24.com	2013-08-23
Global	Sport	http://sfappeal.com/2013/08/yacht-club-breathes-sigh-of-relief-as-legal-challenge-to-americas-cup-is-withdrawn/	www.sfappeal.com	2013-08-24
Global	Science and Technology	https://www.bbc.co.uk/news/world-africa-23843578	www.bbc.co.uk	2013-08-26
Global	Conflicts and Attacks	http://www.foxnews.com/world/2013/08/27/hollande-says-france-ready-to-punish-syria-over-gas-attack/	www.foxnews.com	2013-08-27
Global	Conflicts and Attacks	https://www.reuters.com/article/2013/08/28/us-syria-crisis-strike-civilians-idUSBRE97R0UJ20130828	www.reuters.com	2013-08-28
Global	Science and Technology	https://www.bbc.co.uk/news/science-environment-23866810	www.bbc.co.uk	2013-08-30
Global	Sport	https://www.bbc.co.uk/news/world-latin-america-23915203	www.bbc.co.uk	2013-09-02
Global	Health	https://www.washingtonpost.com/world/europe/hitler-bodyguard-rochus-misch-last-witness-to-fuehrers-final-hours-dies-in-berlin-at-age-96/2013/09/06/e92010c8-16ea-11e3-961c-f22d3aaf19ab_story.html	www.washingtonpost.com	2013-09-05
Global	Environment	http://news.ninemsn.com.au/national/2013/09/06/16/19/rock-rat-not-so-extinct-after-all	www.news.ninemsn.com.au	2013-09-06
Global	Health	https://www.bbc.co.uk/news/world-asia-23968282	www.bbc.co.uk	2013-09-06
Global	Politics	https://www.reuters.com/article/2013/09/08/us-russia-moscow-election-results-idUSBRE9870D320130908; https://www.bbc.co.uk/news/world-europe-24004840	www.reuters.com; www.bbc.co.uk	2013-09-08
Global	Conflicts and Attacks	http://english.alarabiya.net/en/News/middle-east/2013/09/10/Egypt-s-Tamarod-founder-survives-assassination-attempt.html	www.english.alarabiya.net	2013-09-09
Global	Art and Culture	http://bigstory.ap.org/article/van-gogh-museum-says-it-has-identified-long-lost-van-gogh-painting	www.bigstory.ap.org	2013-09-09
Global	Law and Crime	https://www.reuters.com/article/2013/09/10/us-usa-california-gun-control-idUSBRE9891ID20130910	www.reuters.com	2013-09-10
Global	Politics	https://www.bbc.co.uk/news/uk-24042797	www.bbc.co.uk	2013-09-10
Global	Science and Technology	http://www.nbcnews.com/science/where-does-solar-system-end-voyager-isnt-officially-there-yet-8C11142403	www.nbcnews.com	2013-09-12
Global	Health	http://www.nbcnews.com/health/deadly-brain-amoeba-infects-first-us-drinking-water-system-8C11172643	www.nbcnews.com	2013-09-16
Global	Conflicts and Attacks	http://blogs.aljazeera.com/liveblog/topic/syria-153	www.blogs.aljazeera.com	2013-09-17
Global	International Relations	https://www.bbc.co.uk/news/world-middle-east-24186928	www.bbc.co.uk	2013-09-21
Global	International Relations	http://firstread.nbcnews.com/_news/2013/09/27/20722870-obama-speaks-with-iranian-president-rouhani?lite; http://www.foxnews.com/world/2013/09/26/rouhani-breaks-ice-despite-missed-handshake-with-obama/	www.firstread.nbcnews.com; www.foxnews.com	2013-09-27
Global	Sport	https://www.reuters.com/article/2013/09/27/us-golf-pga-idUSBRE98Q0NW20130927	www.reuters.com	2013-09-27
Global	Law and Crime	http://timesofindia.indiatimes.com/world/rest-of-world/Buddhist-mob-kill-1-torch-70-homes-in-Myanmar/articleshow/23364474.cms	www.timesofindia.indiatimes.com	2013-10-01
Global	International Relations	https://www.bbc.co.uk/news/world-latin-america-24342804	www.bbc.co.uk	2013-10-01
Global	Science and Technology	http://www.foxnews.com/us/2013/10/10/astronaut-scott-carpenter-second-american-to-orbit-earth-dies-at-88/	www.foxnews.com	2013-10-10
Global	Conflicts and Attacks	https://www.washingtonpost.com/world/middle_east/syrian-islamist-rebels-killed-or-kidnapped-hundreds-of-civilians-rights-goup-says/2013/10/10/9ceaac8a-31e9-11e3-9c68-1cf643210300_story.html	www.washingtonpost.com	2013-10-11
Global	Health	http://uk.reuters.com/article/2013/10/24/us-syria-crisis-polio-idUKBRE99N0LF20131024	www.uk.reuters.com	2013-10-24
Global	Politics	http://gulfnews.com/news/region/tunisia/tunisia-islamists-opposition-deadlocked-over-pm-1.1250315	www.gulfnews.com	2013-11-02
Global	Science and Technology	http://www.ctvnews.ca/sci-tech/rare-solar-eclipse-to-sweep-africa-europe-on-sunday-1.1525301	www.ctvnews.ca	2013-11-03
Global	Art and Culture	https://www.forbes.com/sites/anthonydemarco/2013/11/12/14-82-carat-orange-diamond-sells-for-a-world-record-35-5-million/	www.forbes.com	2013-11-13
Global	Science and Technology	https://www.theverge.com/2013/11/18/5117312/maven-nasa-mission-to-mars-what-to-know	www.theverge.com	2013-11-18
Global	International Relations	http://www.weeklytimesnow.com.au/article/2013/11/21/589783_latest-news.html	www.weeklytimesnow.com.au	2013-11-21
Global	Law and Crime	http://bigstory.ap.org/article/vietnam-reaffirms-party-role-new-charter	www.bigstory.ap.org	2013-11-28
Global	Disaster and Accidents	https://www.bbc.co.uk/news/world-africa-25162278	www.bbc.co.uk	2013-11-29
Global	International Relations	http://www.news.com.au/national/breaking-news/australia-seals-fta-with-south-korea/story-e6frfku9-1226776077019	www.news.com.au	2013-12-05
Global	Environment	http://www.businessinsider.com/record-levels-of-smog-in-shanghai-delayed-hundreds-of-flights-2013-12	www.businessinsider.com	2013-12-06
Global	Art and Culture	http://abcnews.go.com/Politics/obama-cuban-president-raul-castro-shake-hands-nelson/story?id=21158776	www.abcnews.go.com	2013-12-10
Global	Art and Culture	https://www.bbc.co.uk/news/uk-25354839	www.bbc.co.uk	2013-12-13
Global	Politics	https://www.bbc.co.uk/news/world-africa-25385984	www.bbc.co.uk	2013-12-14
Global	Law and Crime	http://www.foxnews.com/us/2013/12/16/harvard-university-evacuates-buildings-over-reports-explosives/	www.foxnews.com	2013-12-16
Global	Business and Economy	https://www.bbc.co.uk/news/business-25414150; https://www.reuters.com/article/2013/12/17/turkey-corruption-idUSL6N0JW16620131217	www.bbc.co.uk; www.reuters.com	2013-12-17
Global	Business and Economy	https://www.bbc.co.uk/news/world-us-canada-25419829	www.bbc.co.uk	2013-12-17
Global	Conflicts and Attacks	http://www.irishtimes.com/news/world/africa/un-says-mass-graves-discovered-in-south-sudan-1.1637346	www.irishtimes.com	2013-12-24
Global	Sport	http://espn.go.com/racing/f1/story/_/id/10208748/michael-schumacher-critical-condition-skiing-accident	www.espn.go.com	2013-12-29
Global	Business and Economy	http://money.cnn.com/2013/12/31/investing/latvia-euro-europe/; https://www.theguardian.com/business/2013/dec/31/latvia-joins-euro-single-currency	www.money.cnn.com; www.theguardian.com	2013-12-31
